species,latitude,longitude,country,date,elevation,temperature,precipitation,NDVI
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-02-03,1669.0,12.1,394.0,0.6362260869565217
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-02-13,1669.0,12.1,394.0,0.6362260869565217
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-02-14,1669.0,12.1,394.0,0.6362260869565217
Fringilla polatzeki,27.951714,-15.65189,Spain,2023-02-16,1125.0,14.4,355.0,0.4347304347826087
Fringilla polatzeki,27.931227,-15.67752,Spain,2023-02-13,988.0,14.7,353.0,0.41753913043478263
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-02-17,1669.0,12.1,394.0,0.6362260869565217
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-03-04,1669.0,12.1,394.0,0.6362260869565217
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-03-04,1669.0,12.1,394.0,0.6362260869565217
Fringilla polatzeki,27.966726,-15.583581,Spain,2023-03-09,1668.0,12.1,394.0,0.6362260869565217
Fringilla polatzeki,27.960989,-15.589557,Spain,2023-03-09,1641.0,11.7,396.0,0.5479173913043478
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-03-07,1669.0,12.1,394.0,0.6362260869565217
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-03-12,1669.0,12.1,394.0,0.6362260869565217
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-03-15,1669.0,12.1,394.0,0.6362260869565217
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-03-15,1669.0,12.1,394.0,0.6362260869565217
Fringilla polatzeki,27.951714,-15.65189,Spain,2023-03-20,1125.0,14.4,355.0,0.4347304347826087
Fringilla polatzeki,27.96105,-15.589514,Spain,2023-03-18,1641.0,11.7,396.0,0.5479173913043478
Fringilla polatzeki,27.942646,-15.66897,Spain,2023-03-21,1238.0,14.2,364.0,0.4042260869565218
Fringilla polatzeki,27.96105,-15.589514,Spain,2023-03-25,1641.0,11.7,396.0,0.5479173913043478
Fringilla polatzeki,27.923147,-15.670699,Spain,2023-03-26,880.0,15.9,321.0,0.20901304347826086
Fringilla polatzeki,27.942646,-15.66897,Spain,2023-03-21,1238.0,14.2,364.0,0.4042260869565218
Fringilla polatzeki,27.951714,-15.65189,Spain,2023-03-20,1125.0,14.4,355.0,0.4347304347826087
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-05-06,1669.0,12.1,394.0,0.6362260869565217
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-05-13,1669.0,12.1,394.0,0.6362260869565217
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-05-29,1669.0,12.1,394.0,0.6362260869565217
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-05-31,1669.0,12.1,394.0,0.6362260869565217
Fringilla polatzeki,27.96127,-15.584363,Spain,2023-05-01,1693.0,11.7,396.0,0.6277739130434783
Fringilla polatzeki,27.936111,-15.666739,Spain,2023-05-01,1140.0,14.2,364.0,0.34093478260869564
Fringilla polatzeki,27.960382,-15.589264,Spain,2023-05-02,1646.0,11.7,396.0,0.5479173913043478
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-06-04,1669.0,12.1,394.0,0.6362260869565217
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-06-03,1669.0,12.1,394.0,0.6362260869565217
Fringilla polatzeki,27.96105,-15.589514,Spain,2023-06-12,1641.0,11.7,396.0,0.5479173913043478
Fringilla polatzeki,27.96105,-15.589514,Spain,2023-06-12,1641.0,11.7,396.0,0.5479173913043478
Fringilla polatzeki,27.96105,-15.589514,Spain,2023-06-28,1641.0,11.7,396.0,0.5479173913043478
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-06-30,1669.0,12.1,394.0,0.6362260869565217
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-06-30,1669.0,12.1,394.0,0.6362260869565217
Fringilla polatzeki,27.96105,-15.589514,Spain,2023-07-01,1641.0,11.7,396.0,0.5479173913043478
Fringilla polatzeki,27.96105,-15.589514,Spain,2023-07-05,1641.0,11.7,396.0,0.5479173913043478
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-07-27,1669.0,12.1,394.0,0.6362260869565217
Fringilla polatzeki,27.96105,-15.589514,Spain,2023-07-31,1641.0,11.7,396.0,0.5479173913043478
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-07-31,1669.0,12.1,394.0,0.6362260869565217
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-07-31,1669.0,12.1,394.0,0.6362260869565217
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-07-31,1669.0,12.1,394.0,0.6362260869565217
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-07-31,1669.0,12.1,394.0,0.6362260869565217
Fringilla polatzeki,27.96105,-15.589514,Spain,2023-07-31,1641.0,11.7,396.0,0.5479173913043478
Fringilla polatzeki,27.96105,-15.589514,Spain,2023-07-31,1641.0,11.7,396.0,0.5479173913043478
